200816K,D,1.0
200817N,B-,2.7
200818T,B,3.0
200819X,D,1.0
200820R,C+,2.3
200821V,D,1.0
200822B,C+,2.3
200823E,B,3.0
200824H,C+,2.3
200825L,C+,2.3
200826P,B,3.0
200827U,A-,3.7
200828A,B+,3.3
200829D,B,3.0
200830X,C+,2.3
200831C,C+,2.3
200832F,B+,3.3
200833J,A,4.0
200834M,B,3.0
200835R,B,3.0
200836V,C+,2.3
200837B,A,4.0
200838E,F,0
200839H,D,1.0
200840D,C+,2.3
200841G,A-,3.7
200842K,B-,2.7
200843N,B+,3.3
200844T,B,3.0
200845X,D,1.0
200846C,C+,2.3
200847F,C-,1.7
200848J,C,2.0
200849M,C+,2.3
200850H,D,1.0
200851L,C,2.0
200852P,A-,3.7
200853U,B-,2.7
200854A,C+,2.3
200855D,B,3.0
200856G,C,2.0
200857K,A+,4.0
200858N,C,2.0
200859T,B+,3.3
200860M,A,4.0
200861R,C+,2.3
200862V,B,3.0
200863B,B+,3.3
200864E,D,1.0
200865H,B,3.0
200866L,B,3.0
200868U,B-,2.7
200869A,C,2.0
200870T,C+,2.3
201001P,A,4.0
201002U,B+,3.3
201003A,B,3.0
201004D,A-,3.7
201005G,C-,1.7
201006K,B-,2.7
201007N,C+,2.3
201008T,B-,2.7
201009X,A,4.0
201010R,A-,3.7
201011V,C,2.0
201012B,B-,2.7
201013E,C,2.0
201014H,B-,2.7
201015L,C-,1.7
201016P,B,3.0
201017U,B-,2.7
201018A,B,3.0
201019D,C+,2.3
201020X,B-,2.7
201021C,C,2.0
201022F,B-,2.7
201023J,F,0
201024M,A-,3.7
201025R,B-,2.7
201026V,D,1.0
201027B,F,0
201028E,C+,2.3
201029H,B,3.0
201030D,C,2.0
201031G,C+,2.3
201032K,B,3.0
201033N,D,1.0
201034T,B-,2.7
201035X,C+,2.3
201036C,C-,1.7
201037F,B-,2.7
201038J,C,2.0
201039M,C+,2.3
201040H,C,2.0
201041L,B-,2.7
201042P,C,2.0
201043U,A-,3.7
201044A,C,2.0
201045D,A,4.0
201046G,A,4.0
201047K,C,2.0
201048N,A,4.0
201049T,C-,1.7
201050M,C,2.0
201051R,C+,2.3
201052V,C,2.0
201053B,B,3.0
201054E,A-,3.7
201055H,C,2.0
201056L,C,2.0
201057P,C+,2.3
201058U,C-,1.7
201059A,B,3.0
201060T,B-,2.7
201061X,B-,2.7
201062C,A,4.0
201063F,D,1.0
201064J,A-,3.7
201065M,B+,3.3
201066R,B-,2.7
201067V,D,1.0
201068B,C,2.0
201069E,B+,3.3
201070A,C+,2.3
201071D,C+,2.3
201072G,F,0
201073K,B+,3.3
201074N,A-,3.7
201075T,B+,3.3
201076X,C,2.0
201077C,C,2.0
201078F,B,3.0
201079J,F,0
201080E,C+,2.3
201081H,B-,2.7
201082L,B+,3.3
201083P,C+,2.3
201084U,B-,2.7
201085A,B+,3.3
201086D,A-,3.7
201087G,B+,3.3
201088K,B,3.0
201089N,F,0
201090J,C+,2.3
201091M,C-,1.7
201092R,C+,2.3
201093V,B-,2.7
